Missing Data,Accuracy,Precision,Recall,F1-score,True Negative,False Positive,False Negative,True Positive
0%,0.821,0.8,0.757,0.778,91,14,18,56
10%,0.799,0.757,0.757,0.757,87,18,18,56
20%,0.782,0.733,0.743,0.738,85,20,19,55
30%,0.782,0.754,0.703,0.727,88,17,22,52
